Building Name,ADDRESS
DAVENPORT HALL,607 S. MATHEWS URBANA
"ART-EAST ANNEX, STUDIO 2",1301 S. GOODWIN URBANA
MCKINLEY HEALTH CENTER,1109 S. LINCOLN URBANA
HARDING BAND BUILDING,1103 S. SIXTH CHAMPAIGN
GYM ANNEX,1402 W. SPRINGFIELD URBANA
ARMORY,505 E. ARMORY CHAMPAIGN
FOELLINGER AUDITORIUM,709 S. MATHEWS URBANA
AGRICULTURAL ENGR SCIENCES BLDG,1304 W. PENNSYLVANIA URBANA
ELECTRICAL ENGR ANNEX,104  S. BURRILL AVE. URBANA
CHEMISTRY ANNEX,601 S. MATHEWS URBANA
CERAMICS KILN HOUSE,107 S. GOODWIN URBANA
NOYES LABORATORY OF CHEMISTRY,505 S. MATHEWS URBANA
TALBOT LABORATORY,104 S. WRIGHT URBANA
ICE ARENA,406 E. ARMORY CHAMPAIGN
ENGINEERING HALL,1308 W. GREEN URBANA
ELECTRICAL ENGR RES LAB,106  S. BURRILL AVE. URBANA
ADVANCED COMPUTATION BLDG,1011 W. SPRINGFIELD URBANA
"ART-EAST ANNEX, STUDIO 1",1208 PEABODY DR. URBANA
ORNAMENTAL HORTICULTURE BUILDING,1107 W. DORNER URBANA
PHYSIOLOGY RESEARCH LABORATORY,301 E. HAZELWOOD CHAMPAIGN
KENNEY GYMNASIUM,1406 W. SPRINGFIELD URBANA
"GREENHOUSE, NORTH",105  S. BURRILL AVE. URBANA
ILLINI UNION,1401 W. GREEN URBANA
NEWMARK CIVIL ENGINEERING BUILDING,205 N. MATHEWS URBANA
HARKER HALL,1305 W. GREEN URBANA
ALTGELD HALL,1409 W. GREEN URBANA
LINCOLN HALL,702 S. WRIGHT URBANA
AERONAUTICAL LABORATORY A,101 S. GOODWIN URBANA
MECHANICAL ENGINEERING LABORATORY,105 S. MATHEWS URBANA
AERO LAB B,102  S. BURRILL AVE. URBANA
DYNAMICS TESTING LABORATORY,609 E. CURTIS RD. CHAMPAIGN
NATURAL HISTORY BUILDING,1301 W. GREEN URBANA
OBSERVATORY,901 S. MATHEWS URBANA
MATERIALS SCIENCE AND ENG BLDG,1304 W. GREEN URBANA
VEGETABLE CROPS BUILDING,1103 W. DORNER URBANA
ENGINEERING RESEARCH LAB,103  S. MATHEWS AVE. URBANA
EVERITT ELEC & COMP ENGR LAB,1406 W. GREEN URBANA
FIRE STATION,1306 W. GREEN URBANA
MUSIC BUILDING,1114 W. NEVADA URBANA
STOCK PAVILION,1402 W. PENNSYLVANIA URBANA
LIBRARY,1408 W. GREGORY URBANA
TRANSPORTATION BUILDING,104 S. MATHEWS URBANA
GREGORY HALL,810 S. WRIGHT URBANA
ENGLISH BUILDING,608 S. WRIGHT URBANA
WOODSHOP & FOUNDRY,102  N. BURRILL AVE URBANA
HENRY ADMINISTRATION BUILDING,506 S. WRIGHT URBANA
HALFWAY HOUSE,S. MATHEWS AVE CHAMPAIGN
NUCLEAR RADIATION LABORATORY,201 S. GOODWIN URBANA
FILTRATION PLANT,1305  W. SPRINGFIELD URBANA
ARCHITECTURE BUILDING,608 E. LORADO TAFT CHAMPAIGN
BOTANY ANNEX & GRNHS,102  N. MATHEWS AVE. URBANA
KRANNERT CENTER FOR PERFORMING ARTS,500 S. GOODWIN URBANA
FIRE STATION GARAGE,1304 1/2 W. GREEN ST. URBANA
DAVID KINLEY HALL,1407 W. GREGORY URBANA
CERAMICS BUILDING,105 S. GOODWIN URBANA
SHELFORD VIVARIUM,606 E. HEALY CHAMPAIGN
ANIMAL GENETICS BUILDING,1301 W. LORADO TAFT URBANA
HUFF HALL,1206 S. FOURTH CHAMPAIGN
SURVEYING BUILDING,607 E. GREGORY CHAMPAIGN
SMITH MEMORIAL HALL,805 S. MATHEWS URBANA
UNIVERSITY HIGH SCHOOL,1212 W. SPRINGFIELD URBANA
CHILD DEVELOPMENT LABORATORY,1105 W. NEVADA URBANA
UNIVERSITY HIGH SCHOOL GYMNASIUM,1207 W. STOUGHTON URBANA
FREER HALL,906 S. GOODWIN URBANA
ILLINI HALL,725 S. WRIGHT CHAMPAIGN
SEITZ MATERIALS RESEARCH LAB,104 S. GOODWIN URBANA
LOOMIS LABORATORY OF PHYSICS,1110 W. GREEN ST. URBANA
HORTICULTURE FIELD LABORATORY,1707 S. ORCHARD URBANA
MUMFORD HALL,1301 W. GREGORY URBANA
CHEMICAL & LIFE SCIENCES LABORATORY,601 S. GOODWIN URBANA
STUDENT SERVICES ARCADE BUILDING,713 S. WRIGHT CHAMPAIGN
MEMORIAL STADIUM,1400 S. FIRST CHAMPAIGN
AGRICULTURAL BIOPROCESS LAB,1302 W. PENNSYLVANIA URBANA
INST GOV & PUBLIC AFFAIRS BLDG,1007 W. NEVADA URBANA
CHILDREN'S RESEARCH CENTER,51 E. GERTY CHAMPAIGN
PSYCHOLOGY LABORATORY,603 E. DANIEL CHAMPAIGN
PLANT SERVICES BUILDING-NORTHEAST,1005 W. WESTERN URBANA
SNYDER HALL,206 E. PEABODY CHAMPAIGN
SCOTT HALL,202 E. PEABODY CHAMPAIGN
WESTON HALL,204 E. PEABODY CHAMPAIGN
