Building No.,Building Name,Address,City,ZIP
1,DAVENPORT HALL,607 S. MATHEWS,URBANA,61801
2,"ART-EAST ANNEX, STUDIO 2",1301 S. GOODWIN,URBANA,61801
3,MCKINLEY HEALTH CENTER,1109 S. LINCOLN,URBANA,61801
4,HARDING BAND BUILDING,1103 S. SIXTH,CHAMPAIGN,61820
5,GYM ANNEX,1402 W. SPRINGFIELD,URBANA,61801
6,ARMORY,505 E. ARMORY,CHAMPAIGN,61820
7,FOELLINGER AUDITORIUM,709 S. MATHEWS,URBANA,61801
8,AGRICULTURAL ENGR SCIENCES BLDG,1304 W. PENNSYLVANIA,URBANA,61801
9,ELECTRICAL ENGR ANNEX,104  S. BURRILL AVE.,URBANA,
10,CHEMISTRY ANNEX,601 S. MATHEWS,URBANA,61801
11,CERAMICS KILN HOUSE,107 S. GOODWIN,URBANA,61801
12,NOYES LABORATORY OF CHEMISTRY,505 S. MATHEWS,URBANA,61801
13,TALBOT LABORATORY,104 S. WRIGHT,URBANA,61801
14,ICE ARENA,406 E. ARMORY,CHAMPAIGN,61820
15,ENGINEERING HALL,1308 W. GREEN,URBANA,61801
16,ELECTRICAL ENGR RES LAB,106  S. BURRILL AVE.,URBANA,
17,ADVANCED COMPUTATION BLDG,1011 W. SPRINGFIELD,URBANA,61801
18,"ART-EAST ANNEX, STUDIO 1",1208 PEABODY DR.,URBANA,61801
19,ORNAMENTAL HORTICULTURE BUILDING,1107 W. DORNER,URBANA,61801
20,PHYSIOLOGY RESEARCH LABORATORY,301 E. HAZELWOOD,CHAMPAIGN,61820
21,KENNEY GYMNASIUM,1406 W. SPRINGFIELD,URBANA,61801
22,"GREENHOUSE, NORTH",105  S. BURRILL AVE.,URBANA,
23,ILLINI UNION,1401 W. GREEN,URBANA,61801
24,NEWMARK CIVIL ENGINEERING BUILDING,205 N. MATHEWS,URBANA,61801
25,HARKER HALL,1305 W. GREEN,URBANA,61801
26,ALTGELD HALL,1409 W. GREEN,URBANA,61801
27,LINCOLN HALL,702 S. WRIGHT,URBANA,61801
28,AERONAUTICAL LABORATORY A,101 S. GOODWIN,URBANA,61801
29,MECHANICAL ENGINEERING LABORATORY,105 S. MATHEWS,URBANA,61801
30,AERO LAB B,102  S. BURRILL AVE.,URBANA,
31,DYNAMICS TESTING LABORATORY,609 E. CURTIS RD.,CHAMPAIGN,61820
32,NATURAL HISTORY BUILDING,1301 W. GREEN,URBANA,61801
33,OBSERVATORY,901 S. MATHEWS,URBANA,61801
34,MATERIALS SCIENCE AND ENG BLDG,1304 W. GREEN,URBANA,61801
35,VEGETABLE CROPS BUILDING,1103 W. DORNER,URBANA,61801
36,ENGINEERING RESEARCH LAB,103  S. MATHEWS AVE.,URBANA,
37,EVERITT ELEC & COMP ENGR LAB,1406 W. GREEN,URBANA,61801
38,FIRE STATION,1306 W. GREEN,URBANA,61801
39,MUSIC BUILDING,1114 W. NEVADA,URBANA,61801
40,STOCK PAVILION,1402 W. PENNSYLVANIA,URBANA,61801
41,LIBRARY,1408 W. GREGORY,URBANA,61801
42,TRANSPORTATION BUILDING,104 S. MATHEWS,URBANA,61801
43,GREGORY HALL,810 S. WRIGHT,URBANA,61801
44,ENGLISH BUILDING,608 S. WRIGHT,URBANA,61801
45,WOODSHOP & FOUNDRY,102  N. BURRILL AVE,URBANA,
46,HENRY ADMINISTRATION BUILDING,506 S. WRIGHT,URBANA,61801
47,HALFWAY HOUSE,S. MATHEWS AVE,CHAMPAIGN,61801
48,NUCLEAR RADIATION LABORATORY,201 S. GOODWIN,URBANA,61801
49,FILTRATION PLANT,1305  W. SPRINGFIELD,URBANA,
50,ARCHITECTURE BUILDING,608 E. LORADO TAFT,CHAMPAIGN,61820
51,BOTANY ANNEX & GRNHS,102  N. MATHEWS AVE.,URBANA,
52,KRANNERT CENTER FOR PERFORMING ARTS,500 S. GOODWIN,URBANA,61801
53,FIRE STATION GARAGE,1304 1/2 W. GREEN ST.,URBANA,
54,DAVID KINLEY HALL,1407 W. GREGORY,URBANA,61801
55,CERAMICS BUILDING,105 S. GOODWIN,URBANA,61801
56,SHELFORD VIVARIUM,606 E. HEALY,CHAMPAIGN,61820
57,ANIMAL GENETICS BUILDING,1301 W. LORADO TAFT,URBANA,61801
58,HUFF HALL,1206 S. FOURTH,CHAMPAIGN,61820
59,SURVEYING BUILDING,607 E. GREGORY,CHAMPAIGN,61820
60,SMITH MEMORIAL HALL,805 S. MATHEWS,URBANA,61801
61,UNIVERSITY HIGH SCHOOL,1212 W. SPRINGFIELD,URBANA,61801
62,CHILD DEVELOPMENT LABORATORY,1105 W. NEVADA,URBANA,61801
63,UNIVERSITY HIGH SCHOOL GYMNASIUM,1207 W. STOUGHTON,URBANA,61801
64,FREER HALL,906 S. GOODWIN,URBANA,61801
65,ILLINI HALL,725 S. WRIGHT,CHAMPAIGN,61820
66,SEITZ MATERIALS RESEARCH LAB,104 S. GOODWIN,URBANA,61801
67,LOOMIS LABORATORY OF PHYSICS,1110 W. GREEN ST.,URBANA,61801
68,HORTICULTURE FIELD LABORATORY,1707 S. ORCHARD,URBANA,61801
69,MUMFORD HALL,1301 W. GREGORY,URBANA,61801
70,CHEMICAL & LIFE SCIENCES LABORATORY,601 S. GOODWIN,URBANA,61801
